id,email,password_hash,full_name,phone,address,role,is_active,created_at,updated_at
10009,user_10009@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 10009,0959251188,"Street Address 10009, District 7, Hanoi, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
100528,user_100528@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 100528,0947405107,"Street Address 100528, District 4, Ho Chi Minh City, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
1000084,user_1000084@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 1000084,0934970946,"Street Address 1000084, District 8, Da Nang, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
1000222,user_1000222@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 1000222,0985386435,"Street Address 1000222, District 2, Hanoi, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
1000228,user_1000228@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 1000228,0944935501,"Street Address 1000228, District 12, Hanoi, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
1000313,user_1000313@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 1000313,0992124765,"Street Address 1000313, District 5, Da Nang, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
1000335,user_1000335@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 1000335,0936867482,"Street Address 1000335, District 2, Ho Chi Minh City, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
1000349,user_1000349@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 1000349,0919939096,"Street Address 1000349, District 8, Ho Chi Minh City, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
1000636,user_1000636@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 1000636,0969741812,"Street Address 1000636, District 2, Da Nang, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
1000723,user_1000723@example.com,pbkdf2_sha256$600000$g45n8FfK39$d589e472cebf4d70b62e49c66bc2fbfa48f8876c117e1a3bc8945a8df241bf89,Customer User 1000723,0952894344,"Street Address 1000723, District 11, Hanoi, Vietnam",customer,True,2026-06-07 15:13:55,2026-06-07 15:13:55
