id,customer_id,full_name,phone,street_address,city,state,postal_code,country,address_type,is_default,is_active,created_at,updated_at
1,10009,Customer User 10009,0959251188,"Street Address 10009, District 7",Hanoi,,52569,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
2,100528,Customer User 100528,0947405107,"Street Address 100528, District 4",Ho Chi Minh City,,11698,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
3,1000084,Customer User 1000084,0934970946,"Street Address 1000084, District 8",Da Nang,,35361,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
4,1000222,Customer User 1000222,0985386435,"Street Address 1000222, District 2",Hanoi,,60788,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
5,1000228,Customer User 1000228,0944935501,"Street Address 1000228, District 12",Hanoi,,24062,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
6,1000313,Customer User 1000313,0992124765,"Street Address 1000313, District 5",Da Nang,,42191,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
7,1000335,Customer User 1000335,0936867482,"Street Address 1000335, District 2",Ho Chi Minh City,,65890,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
8,1000349,Customer User 1000349,0919939096,"Street Address 1000349, District 8",Ho Chi Minh City,,68895,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
9,1000636,Customer User 1000636,0969741812,"Street Address 1000636, District 2",Da Nang,,65412,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
10,1000723,Customer User 1000723,0952894344,"Street Address 1000723, District 11",Hanoi,,56500,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
11,1000792,Customer User 1000792,0918715975,"Street Address 1000792, District 9",Da Nang,,29029,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
12,1000877,Customer User 1000877,0950259503,"Street Address 1000877, District 3",Da Nang,,56501,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
13,1001145,Customer User 1001145,0995590648,"Street Address 1001145, District 3",Hanoi,,43341,Vietnam,home,True,True,2026-06-07 15:13:55,2026-06-07 15:13:55
